x_coord,y_coord
30314.7936,31490.4942
33758.4143,33695.5198
29257.7203,34500.3599
28185.4359,39012.6664
29482.029,38684.1754
29889.3457,39382.8134
29283.7324,39647.8906
31397.2241,39851.6191
29674.8184,40616.875
28777.0707,38973.9528
28267.0582,39151.8344
29257.6457,38619.9953
28134.9305,38989.9965
29421.1502,38526.8611
29595.2539,38514.7606
28117.7689,39172.0389
30669.2379,38959.5487
30234.4145,39354.0323
29489.025,39103.7605
30201.236,39274.274
30004.2224,39370.6063
28950.7223,39184.6976
28960.3285,39294.4158
29961.0968,38457.9118
22359.0217,31801.6379
22474.205,31687.9608
22194.6359,32026.8288
22252.486,31896.9749
22562.8641,32184.9758
22688.3753,32015.1518
22643.9533,31900.5591
22448.9368,32178.436
24649.752,29778.7266
24941.5778,29704.4978
28934.1777,38749.8516
29247.03,38962
29033.1895,39996.3712
28541.14,38785.36
28605.489,38954.8
28388.51,38892.03
28790.02,38777.85
29082.59,38697.07
29684.7366,38554.0251
29446.1477,38906.1139
29735.5099,38818.5301
29789.41,38533.02
30037.566,38313.6296
28236.93,39419.47
28556.67,39153.3
28461.3669,39295.5961
29713.5035,38806.4544
29012.7631,39222.5981
29050.5605,39137.2773
29155.32,39163.04
29150.6699,39318.7539
28152.8391,39115.4784
30042,38931.43
30310.66,38963.49
30443.9088,38715.8847
30474.8188,38904.5192
30367.0774,38445.7028
30309.63,38134.69
28876.2363,38636.7578
30633.47,38267.95
30627.96,38553.32
30675.9559,38735.0223
30887.78,38670.51
30856.9781,38804.1956
30438.53,39214.64
30885.475,39174.8899
30374.18,39154.22
30724.16,39260.19
30703.29,39392.09
28117.6053,39054.6321
29513.9566,39155.7785
29426.2389,39033.615
29508.9218,39208.8091
29401.8671,39382.3378
29464.1325,39466.0892
29538.847,39411.5653
29518.5871,39336.4776
29603.16,39372.68
30762.295,39543.9937
30514.5273,39606.8281
30096.82,39574.31
29789.5613,39690.0448
30241.6957,39172.3075
30904.46,39226.97
28260.64,40279.16
28499.27,40184.22
28727.3335,40428.7342
28960.06,40400.41
28888.4313,38935.4059
28755.4887,40287.5326
28826.1219,40219.911
29136.44,40303.05
28835.3369,40091.5441
29166.97,40069.8164
